"id","date","prec"
182,"jul01",1.6
183,"jul02",0.6
184,"jul03",3.1
185,"jul04",1
186,"jul05",3.9
187,"jul06",0.4
188,"jul07",1
189,"jul08",1.6
190,"jul09",1.4
191,"jul10",2.3
192,"jul11",3.4
193,"jul12",1.9
194,"jul13",0.8
195,"jul14",1.2
196,"jul15",1.9
197,"jul16",1.5
198,"jul17",1.2
199,"jul18",0.6
200,"jul19",0.6
201,"jul20",1
202,"jul21",1.5
203,"jul22",0.2
204,"jul23",0
205,"jul24",0.5
206,"jul25",0.7
207,"jul26",0.4
208,"jul27",0.5
209,"jul28",0.5
210,"jul29",0.7
211,"jul30",0
212,"jul31",0.1
213,"aug01",0.5
214,"aug02",0.2
215,"aug03",0.6
216,"aug04",1.3
217,"aug05",0.3
218,"aug06",0.6
219,"aug07",1
220,"aug08",0.9
221,"aug09",0.8
222,"aug10",0.3
223,"aug11",0.6
224,"aug12",2.2
225,"aug13",1.4
226,"aug14",1.3
227,"aug15",0.4
228,"aug16",3.4
229,"aug17",1
230,"aug18",1.5
231,"aug19",1.2
232,"aug20",2.1
233,"aug21",0.7
234,"aug22",1.1
235,"aug23",1.8
236,"aug24",0.9
237,"aug25",1.2
238,"aug26",1.9
239,"aug27",3
240,"aug28",1.9
241,"aug29",1.5
242,"aug30",3.2
243,"aug31",1.4
244,"sep01",4.8
245,"sep02",1.9
246,"sep03",1.8
247,"sep04",1.9
248,"sep05",2.1
249,"sep06",1.9
250,"sep07",1.1
251,"sep08",2.2
252,"sep09",1.4
253,"sep10",2.6
254,"sep11",1.5
255,"sep12",0.7
256,"sep13",2.2
257,"sep14",1.3
258,"sep15",1.6
259,"sep16",3.8
260,"sep17",2
261,"sep18",1.4
262,"sep19",2.1
263,"sep20",2.6
264,"sep21",1.7
265,"sep22",3.1
266,"sep23",3.3
267,"sep24",0.8
268,"sep25",0.6
269,"sep26",1.7
270,"sep27",1.8
271,"sep28",2.5
272,"sep29",2
273,"sep30",2.1
274,"oct01",3.3
275,"oct02",1.4
276,"oct03",1.9
277,"oct04",1.3
278,"oct05",3.1
279,"oct06",3.5
280,"oct07",4
281,"oct08",2.8
282,"oct09",2.9
283,"oct10",2.5
284,"oct11",1.8
285,"oct12",3.9
286,"oct13",3.7
287,"oct14",2.9
288,"oct15",1.3
289,"oct16",2.8
290,"oct17",2.3
291,"oct18",2.6
292,"oct19",3.7
293,"oct20",5
294,"oct21",4.8
295,"oct22",6
296,"oct23",4.7
297,"oct24",4.7
298,"oct25",5.5
299,"oct26",5
300,"oct27",5.1
301,"oct28",3.1
302,"oct29",5
303,"oct30",3.3
304,"oct31",7.3
305,"nov01",5.3
306,"nov02",4.3
307,"nov03",8.7
308,"nov04",5.9
309,"nov05",4.8
310,"nov06",4.8
311,"nov07",5.1
312,"nov08",4.2
313,"nov09",7.3
314,"nov10",5.6
315,"nov11",4.9
316,"nov12",4.3
317,"nov13",4.2
318,"nov14",4.7
319,"nov15",5.6
320,"nov16",5
321,"nov17",4.2
322,"nov18",4.8
323,"nov19",8.8
324,"nov20",4.3
325,"nov21",5.6
326,"nov22",3.9
327,"nov23",8.6
328,"nov24",5.6
329,"nov25",6.4
330,"nov26",4.5
331,"nov27",7.9
332,"nov28",5
333,"nov29",8.2
334,"nov30",6.1
335,"dec01",6.4
336,"dec02",5.6
337,"dec03",7.2
338,"dec04",5.1
339,"dec05",5.1
340,"dec06",4.7
341,"dec07",6.5
342,"dec08",7
343,"dec09",6.4
344,"dec10",5
345,"dec11",4.8
346,"dec12",5.6
347,"dec13",5.9
348,"dec14",6.2
349,"dec15",7.3
350,"dec16",4.8
351,"dec17",7.4
352,"dec18",4.4
353,"dec19",5.8
354,"dec20",6.5
355,"dec21",6.7
356,"dec22",5.5
357,"dec23",6
358,"dec24",4.9
359,"dec25",6.6
360,"dec26",5.7
361,"dec27",4.1
362,"dec28",3.8
363,"dec29",5.9
364,"dec30",4.5
365,"dec31",2.7
1,"jan01",5.5
2,"jan02",6.6
3,"jan03",6.8
4,"jan04",5.1
5,"jan05",3.8
6,"jan06",2.5
7,"jan07",4.4
8,"jan08",5.6
9,"jan09",4.9
10,"jan10",7.1
11,"jan11",3.8
12,"jan12",6.4
13,"jan13",5.2
14,"jan14",6.7
15,"jan15",6.1
16,"jan16",5
17,"jan17",4.3
18,"jan18",6.6
19,"jan19",5.1
20,"jan20",3.3
21,"jan21",4
22,"jan22",4.4
23,"jan23",6.5
24,"jan24",4.7
25,"jan25",2.2
26,"jan26",5.1
27,"jan27",3.4
28,"jan28",3.1
29,"jan29",4.3
30,"jan30",4.2
31,"jan31",4.4
32,"feb01",5.1
33,"feb02",5.1
34,"feb03",4.3
35,"feb04",4.5
36,"feb05",2.1
37,"feb06",2.9
38,"feb07",2.5
39,"feb08",2.5
40,"feb09",3.8
41,"feb10",3.4
42,"feb11",4.8
43,"feb12",6.5
44,"feb13",4.9
45,"feb14",5.5
46,"feb15",6.1
47,"feb16",4.8
48,"feb17",5.6
49,"feb18",5.8
50,"feb19",5.1
51,"feb20",3.1
52,"feb21",3.1
53,"feb22",2.5
54,"feb23",3.9
55,"feb24",3.4
56,"feb25",3.7
57,"feb26",4.9
58,"feb27",3.5
59,"feb28",4.5
60,"mar01",4
61,"mar02",4.2
62,"mar03",3.2
63,"mar04",5.2
64,"mar05",4.8
65,"mar06",2.6
66,"mar07",2.8
67,"mar08",3.2
68,"mar09",4.4
69,"mar10",3.5
70,"mar11",3.3
71,"mar12",4.5
72,"mar13",2.4
73,"mar14",3.6
74,"mar15",4.5
75,"mar16",3.3
76,"mar17",3.8
77,"mar18",1.9
78,"mar19",2.2
79,"mar20",4
80,"mar21",2.5
81,"mar22",5.3
82,"mar23",3.3
83,"mar24",2.4
84,"mar25",3.8
85,"mar26",2.7
86,"mar27",2.3
87,"mar28",3.6
88,"mar29",3.8
89,"mar30",2.8
90,"mar31",2.9
91,"apr01",2.8
92,"apr02",1.6
93,"apr03",3.1
94,"apr04",4.2
95,"apr05",3.4
96,"apr06",2.8
97,"apr07",0.8
98,"apr08",3.3
99,"apr09",3.9
100,"apr10",2.7
101,"apr11",3.5
102,"apr12",3.9
103,"apr13",2.6
104,"apr14",2.4
105,"apr15",1.9
106,"apr16",2.1
107,"apr17",1.8
108,"apr18",1.6
109,"apr19",2.5
110,"apr20",2.7
111,"apr21",1.9
112,"apr22",2.7
113,"apr23",2.5
114,"apr24",3.3
115,"apr25",2.2
116,"apr26",2.5
117,"apr27",2.6
118,"apr28",2.9
119,"apr29",2.3
